Frame,Vehicles,Approaching Vehicles,Headlights,Glare Score,Glare Level,Beam Intensity,Beam Direction,Action
67,6,0,21,77,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
68,6,0,21,77,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
69,5,0,20,77,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
70,6,0,24,77,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
71,6,0,23,77,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
72,6,0,21,77,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
73,6,0,23,77,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
74,5,1,21,87,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
75,6,0,22,77,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
76,6,0,22,77,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
77,6,0,21,77,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
78,5,0,21,77,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
79,5,0,21,77,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
80,5,0,21,77,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
81,5,0,21,77,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
82,6,0,21,78,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
83,5,0,22,78,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
84,5,1,23,98,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
85,5,0,22,78,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
86,5,0,22,79,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
87,6,1,24,98,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
88,6,0,22,78,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
89,6,0,22,78,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
90,5,0,24,78,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
91,5,0,25,78,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
92,5,0,24,78,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
93,5,0,24,79,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
94,5,1,24,98,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
95,6,0,25,78,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
96,6,0,25,78,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
97,5,0,24,78,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
98,5,0,24,79,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
99,5,0,28,79,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
100,5,0,24,79,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
101,5,0,22,78,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
102,5,0,21,78,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
103,5,0,25,79,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
104,5,0,22,79,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
105,5,1,21,82,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
106,5,0,19,80,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
107,5,1,20,80,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
108,5,0,18,76,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
109,5,0,18,78,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
110,5,0,16,78,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
111,5,0,16,78,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
112,5,0,19,78,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
113,5,0,18,78,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
114,5,0,17,78,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
115,5,0,17,78,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
116,5,0,16,77,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
117,5,0,15,76,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
118,5,0,16,76,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
119,5,0,16,77,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
120,5,0,18,75,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
121,5,0,18,79,HIGH,30,DOWNWARD,HIGH GLARE - DIM AND REDIRECT
